site_name,description,aerial_image_URL
  Coolum,This site is in Coolum,
  Dulong,This site is in Dulong,
  Eerwah Vale,This site is in Eerwah Vale,
  Yaroomba,This site is in Yaroomba,
  Sippy Downs,This site is in Sippy Downs,
  MRBBG,This site is in Maroochydore,
  Maleny,This site is in Maleny,
