site_name,year,common_name,species_name,total_count
 MRBBG, 2025,Striped Marsh Frog,Limnodynastes peronii,7
 Yaroomba, 2025,Striped Marsh Frog,Limnodynastes peronii,5
 Yaroomba, 2017,Superb Banjo Frog,Limnodynastes terraereginae,2
 Coolum, 2014,Green Tree Frog,Litoria caerulea,2
 Eerwah Vale, 2014,Green Tree Frog,Litoria caerulea,3
 Eerwah Vale, 2015,Green Tree Frog,Litoria caerulea,3
 Eerwah Vale, 2018,Green Tree Frog,Litoria caerulea,2
 Eerwah Vale, 2019,Green Tree Frog,Litoria caerulea,4
 Eerwah Vale, 2020,Green Tree Frog,Litoria caerulea,2
 Coolum, 2021,Green Tree Frog,Litoria caerulea,2
 Yaroomba, 2022,Green Tree Frog,Litoria caerulea,2
 Maleny, 2025,Green Tree Frog,Litoria caerulea,2
 Eerwah Vale, 2016,Robust Bleating Tree Frog,Litoria dentata,3
 Eerwah Vale, 2020,Robust Bleating Tree Frog,Litoria dentata,2
 Coolum, 2014,Eastern Dwarf Tree Frog,Litoria fallax,9
 Dulong, 2014,Eastern Dwarf Tree Frog,Litoria fallax,3
 Yaroomba, 2014,Eastern Dwarf Tree Frog,Litoria fallax,4
 Coolum, 2015,Eastern Dwarf Tree Frog,Litoria fallax,15
 Dulong, 2015,Eastern Dwarf Tree Frog,Litoria fallax,5
 Eerwah Vale, 2015,Eastern Dwarf Tree Frog,Litoria fallax,4
 Yaroomba, 2015,Eastern Dwarf Tree Frog,Litoria fallax,4
 Coolum, 2016,Eastern Dwarf Tree Frog,Litoria fallax,4
 Dulong, 2016,Eastern Dwarf Tree Frog,Litoria fallax,7
 Eerwah Vale, 2016,Eastern Dwarf Tree Frog,Litoria fallax,7
 Sippy Downs, 2016,Eastern Dwarf Tree Frog,Litoria fallax,49
 Yaroomba, 2016,Eastern Dwarf Tree Frog,Litoria fallax,5
 Yaroomba, 2016,Eastern Dwarf Tree Frog,Litoria fallax,2
 Coolum, 2017,Eastern Dwarf Tree Frog,Litoria fallax,6
 Dulong, 2017,Eastern Dwarf Tree Frog,Litoria fallax,6
 Eerwah Vale, 2017,Eastern Dwarf Tree Frog,Litoria fallax,17
