site_name,lat,lon,description,image1,image2,image3,image4,image5,image6
  Coolum,-26.50674,153.091065,This site is in Coolum,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Coolum/Coolum_Map.jpeg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Coolum/Coolum_a.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Coolum/Coolum_b.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Coolum/Coolum_c.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Coolum/Coolum_d.JPG,
  Dulong,-26.64,152.9,This site is in Dulong,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Dulong/Dulong_a.jpg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Dulong/Dulong_b.jpg,,,,
  Eerwah Vale,-26.47,152.89,This site is in Eerwah Vale,https://www.wikiloc.com/trails/hiking/australia/queensland/eerwah-vale,,,,,
  Yaroomba,-26.550433,153.095711,This site is in Yaroomba,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Yaroomba/Yaroomba_Map.jpeg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Yaroomba/Yaroomba_a.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Yaroomba/Yaroomba_b.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Yaroomba/Yaroomba_c.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Yaroomba/Yaroomba_d.JPG,
  Sippy Downs,-26.725281,153.07626,This site is in Sippy Downs,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Sippy_Downs/SippyDowns_Map.jpg,,,,,
  MRBBG,-26.71882,153.023028,This site is in Maroochydore,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_Map.jpeg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_a.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_b.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_c.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_d.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MRBG/MRBG_e.JPG
 Maleny,-26.760438,152.851298,This site is in Maleny,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Melany/Melany_a.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Melany/Melany_b.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Melany/Melany_c.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Melany/Melany_d.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/Melany/Melany_e.JPG,
Mooloolah River National Park,-26.7216,153.0811,This site is in Mooloolah National Park,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_Map.png,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_a.jpg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_b.jpeg,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_c.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_d.JPG,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Sites/MNP/MNP_e.JPG
